rank,name,rating,reviews,phone,category,address,ad,feed_pos
1,Tribble Air Duct Cleaning,5.0,11,(470) 839-3081,Air duct cleaning service,125 Tribble Gap Rd GA,False,1
2,HVAC Cleaning Technologies,5.0,809,(404) 737-9167,Air duct cleaning service,237 Castleberry Industrial Dr Suite A,False,2
3,Hurricane Group Cumming,5.0,127,(404) 999-1605,Air duct cleaning service,110 Samaritan Dr 212 Office #2,False,3
4,Ducts Unlimited: Professional Air Duct Cleaning,5.0,1,(678) 906-5434,Air duct cleaning service,2310 Old Alpharetta Rd,False,4
5,Spectrum Duct Cleaning,5.0,6,(404) 940-1940,Air duct cleaning service,5515 Nesmith Ct,False,5
6,MMI Home Improvement,4.8,208,(470) 445-1535,Air duct cleaning service,2595 Sentinel Chase Way,False,6
7,Emergency Heating and Air Conditioning,4.9,143,(678) 845-6565,HVAC contractor,1847 Canton Hwy Ste 6,False,7
8,"Four Seasons Vent Cleaning Services, LLC",4.9,54,(470) 457-9415,Four Seasons Vent Cleaning Service,4.9(54) Air duct cleaning service,False,8
9,Simply Clean Ducts & Vents LLC,4.8,191,(404) 642-6000,Air duct cleaning service,258 Coddington Ct,False,9
10,Reliance Heating and Air,4.8,632,(770) 886-1998,HVAC contractor,2550 Business Dr,False,10
11,Air of America Air Duct & Dryer Vent Cleaning Services,4.9,641,(770) 800-3152,Dryer Vent Cleaning Service,410 Prospect Pl,False,11
12,"Cheeky Heating, Cooling, & Plumbing",4.8,2736,(770) 892-6657,HVAC contractor,245 Castleberry Industrial Dr,False,12
13,"Kennon Heating, Air & Plumbing",4.9,2923,(470) 239-5255,Air duct cleaning service,6855 Shiloh Rd E,False,13
14,KONVANT Property Services,4.9,50,(770) 809-1434,KONVANT Property Service,4.9(50) Air duct cleaning service,False,14
15,Technicare Home Pros,5.0,343,(404) 334-0719,Carpet cleaning service,745 Atlanta Rd Ste 202,False,15
16,SERVPRO of Forsyth and Dawson Counties,4.9,458,(770) 744-1024,Air duct cleaning service,1720 Redi Rd,False,16
17,Home Dryer Solutions,5.0,231,(404) 999-8368,Dryer vent cleaning service,5.0(231) Dryer vent cleaning service,False,17
18,Blasberg Cleaning,4.7,34,(470) 641-1015,Cleaners,312 Azalea Cir,False,18
19,Cooper Massey Services Air Duct Cleaning,4.9,112,(404) 490-2035,Cooper Massey Service,4.9(112) Air duct cleaning service,False,19
20,"Jade Heating & Air, Inc.",4.9,100,(678) 549-9919,Air conditioning contractor,4.9(100) Air conditioning contractor,False,20
AD,Ductor Clean Air,5.0,210,(470) 665-3828,Air duct cleaning service,3162 Johnson Ferry Road,True,21
AD,Trusted Air Cleaning,1.3,8,,Air duct cleaning service,6 Concourse Parkway,True,22
21,"Mad Hatter-Fireplace, Grills and Outdoor Living",4.8,1080,(770) 740-8133,,5220 Atlanta Hwy,False,23
22,Atlanta Air Experts,4.8,116,(678) 436-8288,Air duct cleaning service,2475 Northwinds Pkwy Suite 200,False,24
23,Hurricane Air Duct Cleaning Services,4.9,274,(404) 777-0563,Hurricane Air Duct Cleaning Service,2494 Jett Ferry Rd Ste 260,False,25
24,Mustang Dryer Vents,4.9,109,(470) 882-2097,Dryer vent cleaning service,11030 Bradford Ln,False,26
25,H & M Services,4.9,74,(770) 844-8405,HVAC contractor,810 Sanders Rd,False,27
26,Georgia Comfort Heating and Air Conditioning,4.6,59,(855) 432-8266,Air duct cleaning service,5395 Rialto Way,False,28
27,The Cleaning Wiz and Air Ducts Cleaning LLC,5.0,111,(678) 887-1549,Air duct cleaning service,5.0(111) Air duct cleaning service,False,29
28,Dynasty Ducts,4.9,197,(770) 750-5460,Air duct cleaning service,4000 Dunwoody Park Ste 1308,False,30
29,Andy Lewis/Hobson Heating & Air,4.7,471,(770) 602-4400,HVAC contractor,1220 Oak Industrial Ln Ste C,False,31
30,Enviro-Master of East Atlanta,5.0,361,(706) 525-5287,Janitorial service,2450 Freedom Pkwy #205,False,32
31,Integrity Air Care,5.0,445,(470) 302-1083,Air duct cleaning service,789 Hammond Dr Apt 809,False,33
32,"ClimateSmith, LLC",4.9,58,(770) 475-9555,Heating contractor,5190 Performance Dr,False,34
33,AirDuct Rescue,5.0,2033,(470) 818-0716,Air duct cleaning service,4485 Lawrenceville Hwy Ste 207,False,35
34,SafeAir Services,4.9,137,(770) 954-7959,SafeAir Services SafeAir Service,4.9(137) Air duct cleaning service,False,36
35,The Honest Guys,4.8,456,(470) 447-2600,Air duct cleaning service,"500 Sun Valley Rd, C2",False,37
36,JE Mechanical Heating & Air,4.9,136,(470) 239-1411,HVAC contractor,1420 Redi Rd Ste H,False,38
37,Quality Air Care HVAC Company & Air Duct Cleaning,5.0,456,(470) 364-9503,Quality Air Care HVAC Company,710 Dacula Rd #4a,False,39
38,All Pro Duct & Air Cleaning,4.3,9,(678) 670-0251,Air duct cleaning service,4.3(9) Air duct cleaning service,False,40
39,All Pro Duct & Air Cleaning,,,(678) 670-0251,reviews Air duct cleaning service,1340 Oak Industrial Ln,False,41
